path	outcome	solver_names	models	engines	relations	ms	detail
Books/Books%20Everyone%20Should%20Read.xlsx	transientFailure	0	0			596	Error Domain=NSCocoaErrorDomain Code=256 "The file “Books%20Everyone%20Should%20Read.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Books/Books%20Everyone%20Should%20Read.xlsx, NSURL=file:///Users/jpurnell/Documents/Books/Books%2520Everyone%2520Should%2520Read.xlsx, NSUnderlyingError=0x76588cf390 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Books/To File/Bellingcat's Online Investigation Toolkit [bit.ly_bcattools].xlsx	ok	0	0			1822	
Career/Balance Agent/Administrative/1.1 Invoices/Invoice Builder.xlsx	ok	0	0			488	
Career/Balance Agent/Administrative/1.1 Invoices/Invoice Creator.xlsx	ok	0	0			48	
Career/Balance Agent/Content Commerce/Content Commerce Design Assets/Design Reconciliation.xlsx	ok	0	0			85	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.0 Data and Analytics/Analytics Update/ComScore Labels.xlsx	transientFailure	0	0			463	Error Domain=NSCocoaErrorDomain Code=256 "The file “ComScore Labels.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.0 Data and Analytics/Analytics Update/ComScore Labels.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.0%20Data%20and%20Analytics/Analytics%20Update/ComScore%20Labels.xlsx, NSUnderlyingError=0x765310edc0 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.0 Data and Analytics/Schema and APIs/BBC Universal Analytics Schema.xlsx	transientFailure	0	0			597	Error Domain=NSCocoaErrorDomain Code=256 "The file “BBC Universal Analytics Schema.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.0 Data and Analytics/Schema and APIs/BBC Universal Analytics Schema.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.0%20Data%20and%20Analytics/Schema%20and%20APIs/BBC%20Universal%20Analytics%20Schema.xlsx, NSUnderlyingError=0x7656e93900 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.0 Data and Analytics/Schema and APIs/Superset BBC Database Structure.xlsx	ok	0	0			2	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1 Research/1.2.1.1.1 Canadian Behavior/Autobills Can Launch thru April.xlsx	transientFailure	0	0			594	Error Domain=NSCocoaErrorDomain Code=256 "The file “Autobills Can Launch thru April.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1 Research/1.2.1.1.1 Canadian Behavior/Autobills Can Launch thru April.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1%20Research/1.2.1.1.1%20Canadian%20Behavior/Autobills%20Can%20Launch%20thru%20April.xlsx, NSUnderlyingError=0x765310ef40 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1 Research/1.2.1.1.1 Canadian Behavior/Canada Analytics 5.3.xlsx	ok	0	0			44212	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1 Research/1.2.1.1.1 Canadian Behavior/Survey Questions.xlsx	ok	0	0			3	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1 Research/Deck Data Breakdown.xlsx	ok	0	0			155	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1 Research/New US last 6 mos/April Joins.xlsx	transientFailure	0	0			617	Error Domain=NSCocoaErrorDomain Code=256 "The file “April Joins.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1 Research/New US last 6 mos/April Joins.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1%20Research/New%20US%20last%206%20mos/April%20Joins.xlsx, NSUnderlyingError=0x76588cf3f0 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1 Research/New US last 6 mos/Feb Joins.xlsx	transientFailure	0	0			598	Error Domain=NSCocoaErrorDomain Code=256 "The file “Feb Joins.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1 Research/New US last 6 mos/Feb Joins.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1%20Research/New%20US%20last%206%20mos/Feb%20Joins.xlsx, NSUnderlyingError=0x76588cf450 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1 Research/New US last 6 mos/Mar Joins.xlsx	transientFailure	0	0			601	Error Domain=NSCocoaErrorDomain Code=256 "The file “Mar Joins.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1 Research/New US last 6 mos/Mar Joins.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1%20Research/New%20US%20last%206%20mos/Mar%20Joins.xlsx, NSUnderlyingError=0x76588cf4b0 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1 Research/Survey Questions.xlsx	ok	0	0			6	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Amazon Reporting thru 05-17-18.xlsx	transientFailure	0	0			588	Error Domain=NSCocoaErrorDomain Code=256 "The file “Amazon Reporting thru 05-17-18.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Amazon Reporting thru 05-17-18.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1.2%20Data/Amazon%20Reporting%20thru%2005-17-18.xlsx, NSUnderlyingError=0x76588cf6c0 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Blended Conv % 5.18.xlsx	transientFailure	0	0			598	Error Domain=NSCocoaErrorDomain Code=256 "The file “Blended Conv % 5.18.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Blended Conv % 5.18.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1.2%20Data/Blended%20Conv%20%25%205.18.xlsx, NSUnderlyingError=0x76588cf750 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Board Deck Data.xlsx	transientFailure	0	0			596	Error Domain=NSCocoaErrorDomain Code=256 "The file “Board Deck Data.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Board Deck Data.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1.2%20Data/Board%20Deck%20Data.xlsx, NSUnderlyingError=0x76588cf7b0 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/BritBox - Daily Numbers - US copy.xlsx	transientFailure	0	0			604	Error Domain=NSCocoaErrorDomain Code=256 "The file “BritBox - Daily Numbers - US copy.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/BritBox - Daily Numbers - US copy.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1.2%20Data/BritBox%20-%20Daily%20Numbers%20-%20US%20copy.xlsx, NSUnderlyingError=0x76588cf810 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/BritBox - Daily Numbers - US.xlsx	ok	0	0			12025	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/BritBox Data for Baseline Eval (BW7) 5.24.xlsx	transientFailure	0	0			614	Error Domain=NSCocoaErrorDomain Code=256 "The file “BritBox Data for Baseline Eval (BW7) 5.24.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/BritBox Data for Baseline Eval (BW7) 5.24.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1.2%20Data/BritBox%20Data%20for%20Baseline%20Eval%20(BW7)%205.24.xlsx, NSUnderlyingError=0x76588cf870 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/BritBox Spend Data for 7 Weeks' Campaign Eval (BW7) 5.18.xlsx	ok	0	0			41	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Canadian Sub List.xlsx	ok	0	0			1776	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Channel Rankings.xlsx	ok	0	0			9	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Editorial/Starts, Mins, UVs by Month.xlsx	ok	0	0			12	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Editorial/Viewing by Genre.xlsx	transientFailure	0	0			616	Error Domain=NSCocoaErrorDomain Code=256 "The file “Viewing by Genre.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Editorial/Viewing by Genre.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1.2%20Data/Editorial/Viewing%20by%20Genre.xlsx, NSUnderlyingError=0x76588cf720 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/KPI Trends.xlsx	ok	0	0			25	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Marketing/1Q18 Brand Tracker/Results for BBC (BritBox Tracking) 8 16.5.2018.xlsx	ok	0	0			360	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Marketing/BritBox Spend Data for 7 Weeks' Campaign Eval (BW7) 5.18.xlsx	ok	0	0			24	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Marketing/DirectAgents April Review.xlsx	transientFailure	0	0			165	Error Domain=NSCocoaErrorDomain Code=256 "The file “DirectAgents April Review.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Marketing/DirectAgents April Review.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1.2%20Data/Marketing/DirectAgents%20April%20Review.xlsx, NSUnderlyingError=0x765310f960 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Marketing/Monthly Marketing Performance by Channel Type.xlsx	ok	0	0			6	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Monthly Churn Calc.xlsx	transientFailure	0	0			537	Error Domain=NSCocoaErrorDomain Code=256 "The file “Monthly Churn Calc.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Monthly Churn Calc.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1.2%20Data/Monthly%20Churn%20Calc.xlsx, NSUnderlyingError=0x76588cfa80 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Monthly Gross Adds by Platform.xlsx	ok	0	0			40	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Paid from Free Trial, all Platforms, by country.xlsx	transientFailure	0	0			558	Error Domain=NSCocoaErrorDomain Code=256 "The file “Paid from Free Trial, all Platforms, by country.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Paid from Free Trial, all Platforms, by country.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1.2%20Data/Paid%20from%20Free%20Trial,%20all%20Platforms,%20by%20country.xlsx, NSUnderlyingError=0x76588cfc00 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Potential Time Spent Data.xlsx	transientFailure	0	0			593	Error Domain=NSCocoaErrorDomain Code=256 "The file “Potential Time Spent Data.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Potential Time Spent Data.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1.2%20Data/Potential%20Time%20Spent%20Data.xlsx, NSUnderlyingError=0x765310fa80 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Spending Growth.xlsx	transientFailure	0	0			606	Error Domain=NSCocoaErrorDomain Code=256 "The file “Spending Growth.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Spending Growth.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1.2%20Data/Spending%20Growth.xlsx, NSUnderlyingError=0x76588cfc90 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Streaming Starts & Stream Time.xlsx	ok	0	0			27341	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Subs Model F1 18-19.xlsx	transientFailure	0	0			615	Error Domain=NSCocoaErrorDomain Code=256 "The file “Subs Model F1 18-19.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Subs Model F1 18-19.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1.2%20Data/Subs%20Model%20F1%2018-19.xlsx, NSUnderlyingError=0x76588cfcf0 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Subscribers & Viewers by Month, Platform.xlsx	ok	0	0			113	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Transaction Data/Amazon Reporting thru 05-15-18.xlsx	ok	0	0			12932	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Transaction Data/Canada Analytics 5.3.xlsx	transientFailure	0	0			547	Error Domain=NSCocoaErrorDomain Code=256 "The file “Canada Analytics 5.3.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Transaction Data/Canada Analytics 5.3.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1.2%20Data/Transaction%20Data/Canada%20Analytics%205.3.xlsx, NSUnderlyingError=0x7651e691a0 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Transaction Data/Copy of Amazon Reporting thru 05-05-18.xlsx	ok	0	0			12674	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.2 Data/Video Views by Platform.xlsx	ok	0	0			3	
Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.3 Supporting Decks/Operations/Cancellation Reasons.xlsx	transientFailure	0	0			639	Error Domain=NSCocoaErrorDomain Code=256 "The file “Cancellation Reasons.xlsx” couldn’t be opened." UserInfo={NSFilePath=/Users/jpurnell/Documents/Career/Balance Agent/Projects/1.0 Britbox/1.2.0 General Management/1.2.1 Board Deck/1.2.1.1.3 Supporting Decks/Operations/Cancellation Reasons.xlsx, NSURL=file:///Users/jpurnell/Documents/Career/Balance%20Agent/Projects/1.0%20Britbox/1.2.0%20General%20Management/1.2.1%20Board%20Deck/1.2.1.1.3%20Supporting%20Decks/Operations/Cancellation%20Reasons.xlsx, NSUnderlyingError=0x7650100600 {Error Domain=NSPOSIXErrorDomain Code=60 "Operation timed out"}}
Career/Balance Agent/Projects/1.0 Britbox/1.5.0 Customer Service/1.0 Research/1.2 Issue Logs/BritBox Social CS.xlsx	ok	0	0			200	
