path	outcome	solver_names	models	engines	relations	ms	detail
Career/CNBCU/Projects/2. xfinity.com/0. Administrative/1.0 Budgeting/sensitivity&trends_062714.xlsx	ok	0	0			26	
Career/CNBCU/Projects/2. xfinity.com/0. Administrative/2.0 Playbooks/Mongoose/Comcast Login Credentials.xlsx	ok	0	0			1	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.0.1 NED/Paid Search Orders, Weekly.xlsx	ok	1	1	grgNonlinear		169	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.0.3 West/Traffic and stuff.xlsx	ok	1	1	grgNonlinear		1122	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.1.0 Omniture Cleanup/Existing Dashboards.xlsx	ok	0	0			7	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.11.0 Attribution/1.0 Adometry/Comcast_URL structures_Adometry Attribution (3).xlsx	ok	0	0			22	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.12.0 Central Mobile Bounce/Central Orders by Line.xlsx	ok	0	0			12084	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.13.0 DSL Focus/Competitor 'Bombing' Approach Estimates.xlsx	ok	5	3	grgNonlinear,grgNonlinear,grgNonlinear		28	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.13.0 DSL Focus/Decision Tree.xlsx	ok	45	5	grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear		3232	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.14.0 Landing Pages/0.14.0 Landing Pages.xlsx	ok	2	1	grgNonlinear		2	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.14.0 Landing Pages/Active Landing Pages 3.20.14.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.14.0 Landing Pages/Landing Page Name Builder.xlsx	ok	0	0			2	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.15.0 Greg Meeting/Comcast Divisional OCE Engine - 2014 02 _ 20140319.xlsx	ok	0	0			6611	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.15.0 Greg Meeting/Comcast OCE-eCare Performance Engine - 2014 02 _ 20140317.xlsx	ok	0	0			2292	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.15.0 Greg Meeting/Funnel Forecast Workbook.xlsx	ok	195	3	grgNonlinear,grgNonlinear,simplexLP	1,3	193	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.15.0 Greg Meeting/Funnel Worksheet.xlsx	ok	0	0			5054	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.15.0 Greg Meeting/Q1 West Top 10 Brand vs Nonbrand KWs.xlsx	ok	0	0			6628	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.15.0 Greg Meeting/Q2 Initiatives.xlsx	ok	0	0			5980	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.15.0 Greg Meeting/Q2 Reforecast - Sensitized.xlsx	ok	0	0			37	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.15.0 Greg Meeting/West - Q4-Q1 - Performance by Product Type DEA Analysis.xlsx	ok	62	2	grgNonlinear,grgNonlinear	1,2	2295	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.18.0 Affiliate Discussion/West Performance  - Position Protected and Blocked w Multiplier.xlsx	ok	0	0			12	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.2.0 Traffic Down/Visits Report for Comcast.com Production Jan-Jun.xlsx	ok	0	0			39	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.2.0 Traffic Down/Visits Report for Comcast.com Production.xlsx	ok	0	0			86	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.2.1 Quarter 35k/2Q Levers.xlsx	ok	0	0			2090	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.2.1 Quarter 35k/Ideas.xlsx	ok	0	0			2184	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.2.2 Connects vs Plan/Connects vs Plan.xlsx	ok	0	0			120	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.20.0 CLV Incorporation/CLV by Region, Product Mix.xlsx	ok	0	0			8	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.20.0 CLV Incorporation/Jan - March 2014 Account.Keyword.xlsx	ok	0	0			3361	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.20.0 CLV Incorporation/Keyword Top 100 Profitability_v2.xlsx	ok	0	0			43	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.20.0 CLV Incorporation/Keyword Top 100 Profitability_v3.xlsx	ok	1	1	grgNonlinear		1826	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.20.0 CLV Incorporation/Rosetta (ADM) Data Dictionary.xlsx	ok	0	0			488	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.20.0 CLV Incorporation/Rosetta (ADM) Models and Scores.xlsx	ok	0	0			10998	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.23.0 Display Grab/Display vs Paid Performance Excel 2.0.xlsx	ok	35	32	grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear		17167	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.23.0 Display Grab/Display vs Paid Performance Excel.xlsx	ok	34	31	grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear		18124	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.23.0 Display Grab/Historical Data.xlsx	ok	0	0			453	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.23.0 Display Grab/Vendor Spend Trend 2012-2014.xlsx	ok	0	0			66	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.25.0 Q4 Media Summit/Funnel Explanation.xlsx	ok	0	0			1418	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.25.0 Q4 Media Summit/Q4 Media Summit Agenda.xlsx	ok	0	0			7	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.28.0 Goals/Goals Template - Becky.xlsx	ok	0	0			1340	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.28.0 Goals/Goals Template - Meg.xlsx	ok	0	0			1653	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.28.0 Goals/Goals Template 2.0.xlsx	ok	4	2	grgNonlinear,grgNonlinear		14	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.28.0 Goals/Goals Template CV edits.xlsx	ok	0	0			1838	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.28.0 Goals/Goals Template.xlsx	ok	0	0			12	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.3.0 Connect Rate Drop/Connect Rate Data v2.xlsx	ok	2	1	grgNonlinear		894	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.3.0 Connect Rate Drop/Connect Rate Data.xlsx	ok	2	1	grgNonlinear		874	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.3.0 Connect Rate Drop/Order v Connect Leakage - Dot Com to other channels/Order v Connect Leakage 2013 - Dot Com to other channels.xlsx	ok	0	0			9	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.3.0 Connect Rate Drop/Order v Connect Leakage - Dot Com to other channels/Order v Connect Leakage 2014 - Dot Com to other channels.xlsx	ok	0	0			201	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.3.0 Connect Rate Drop/Order v Connect Leakage - Dot Com to other channels/Orders Data 2013 from Dot Com going to other sales channel.xlsx	ok	0	0			1246	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.3.0 Connect Rate Drop/QDP Orders Day by Day for Existing Dec-Mar.xlsx	ok	0	0			565	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.3.0 Connect Rate Drop/QDP Orders Not Connected.xlsx	ok	0	0			818	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.3.0 Connect Rate Drop/QueryResult.xlsx	ok	0	0			2363	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.3.0 Connect Rate Drop/Sales ID Assignments 03-03-14.xlsx	ok	0	0			226	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.31.0 Morning Meeting/9am Agenda Form (Responses) (version 1).xlsx	ok	0	0			350	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.4.0 Localization Issues/Out of Footprint Visitors.xlsx	ok	0	0			29	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.4.0 Localization Issues/Traffic by Region - 2013.09-2014.03.xlsx	ok	0	0			7891	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.5.0 Quarterly Strategy/Comcast_2014_BudgetTemplate_MB_122013_calc (Autosaved).xlsx	ok	0	0			2347	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.5.0 Quarterly Strategy/Ideal Linear Model.xlsx	ok	298	4	grgNonlinear,grgNonlinear,grgNonlinear,simplexLP	1,3	36	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.5.0 Quarterly Strategy/Keyword DEA Analysis.xlsx	ok	239	5	grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear	1,2	991	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.5.0 Quarterly Strategy/Linear Model 0.1.xlsx	ok	0	0			1928	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.5.0 Quarterly Strategy/Linear Model 0.2.xlsx	ok	80	6	grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,simplexLP	1,2	2003	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.5.0 Quarterly Strategy/Linear Model 0.3.xlsx	ok	80	6	grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear,simplexLP	1,2	2119	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.5.0 Quarterly Strategy/More Tactics.xlsx	ok	0	0			1412	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.5.0 Quarterly Strategy/Quarterly Planning Agenda.xlsx	ok	0	0			1883	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.5.0 Quarterly Strategy/Quarterly Strategy 2.0.xlsx	ok	187	4	grgNonlinear,grgNonlinear,grgNonlinear,grgNonlinear	1,3	74	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.5.0 Quarterly Strategy/Quarterly Strategy 2.1.xlsx	ok	199	4	grgNonlinear,grgNonlinear,grgNonlinear,simplexLP	1,3	3422	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.5.0 Quarterly Strategy/Quarterly Strategy 2.2.xlsx	ok	213	4	grgNonlinear,grgNonlinear,grgNonlinear,simplexLP	1,3,5	3338	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.5.0 Quarterly Strategy/Quarterly Strategy.xlsx	ok	119	3	grgNonlinear,grgNonlinear,grgNonlinear	1,3	76	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.6.0 Site Localization Tests/DOTCOM_Test Addresses.xlsx	ok	0	0			17465	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.7.0 Page Experience Tests/Learn vs  Landing Page Analysis.xlsx	ok	0	0			1740	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.7.0 Page Experience Tests/Learn vs. Landing Page.xlsx	ok	0	0			71	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.8.0 HSD Only Micro Conversion Rate/HSD Only Micro Conversion Rate.xlsx	ok	0	0			2094	
Career/CNBCU/Projects/2. xfinity.com/0.1 Ad Hoc/0.9.0 Day of Digital/Day of Digital Agenda.xlsx	ok	0	0			5	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/0. Scope and Source Documents/Analytics Meeting  - 20140109.xlsx	ok	0	0			1269	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/0. Scope and Source Documents/Analytics Reference Sheet.xlsx	ok	0	0			5	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/0. Scope and Source Documents/ChartMaker Template.xlsx	ok	0	0			274	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/0. Scope and Source Documents/Dashboard US 2013-28.xlsx	ok	0	0			9385	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/0. Scope and Source Documents/KPIs.xlsx	ok	0	0			2	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/0. Scope and Source Documents/March Actual Orders vs Targeted orders  aggregate trend v3.xlsx	ok	0	0			5493	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/0. Scope and Source Documents/Marin Feed Test.xlsx	ok	1	1	grgNonlinear		2972	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/0. Scope and Source Documents/Marin Integration Test.xlsx	ok	0	0			388	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/0. Scope and Source Documents/Potential AdHoc Output.xlsx	ok	0	0			186	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Display omniture backfill.xlsx	ok	0	0			26	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/2014_2_07 Comcast Paid Weekly Report.xlsx	ok	0	0			1657	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Copy of 2014_6_27 Comcast Paid Weekly Report.xlsx	ok	0	0			1648	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Copy of Divisional Metrics 20140711.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Division_Metrics_20140207-1.xlsx	ok	0	0			1301	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Division_Metrics_20140207.xlsx	ok	0	0			7	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Automated Reports for Justin's Dashboard.xlsx	ok	2	2	grgNonlinear,grgNonlinear		725	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20140228.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20140404.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20140418.xlsx	ok	0	0			1429	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20140425.xlsx	ok	2	1	grgNonlinear		7	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20140509.xlsx	ok	0	0			5	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20140516.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20140606.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20140704.xlsx	ok	0	0			4	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20140718.xlsx	ok	0	0			1216	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20140725.xlsx	ok	0	0			1339	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20140801.xlsx	ok	0	0			5	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20140808.xlsx	ok	0	0			4	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20140815.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20140822.xlsx	ok	0	0			2	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20140829.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 2014091926.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20141003.xlsx	ok	0	0			2	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20141010.xlsx	ok	0	0			2	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20141017.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20141027.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20141031.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20141121.xlsx	ok	0	0			1342	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20141128.xlsx	ok	0	0			2	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 2014117.xlsx	ok	0	0			2	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20141205.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 20141212.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Divisional Metrics 5-30-2014.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/Top 5 Keywords 20140207.xlsx	ok	0	0			8	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/Impaqt/book3.xlsx	ok	0	0			1401	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/Comcast_DMA_Mapping_FINAL_for_Comcast.xlsx	ok	0	0			19	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/Copy of MainDivisionData_6 14-6 20.xlsx	ok	0	0			5	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/Copy of MainDivisionData_7 12-7 18.xlsx	ok	0	0			5	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/Copy of MainDivisionData_7 19-7 25.xlsx	ok	0	0			5	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/Copy of MainDivisionData_7 26-8 1.xlsx	ok	0	0			4	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/Copy of MainDivisionData_7 5-7 11.xlsx	ok	0	0			4	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_1.25-1.31.xlsx	ok	0	0			2	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_10.11-10.17.xlsx	ok	2	1	grgNonlinear		4	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_10.18-10.24.xlsx	ok	0	0			4	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_10.25-10.31.xlsx	ok	0	0			4	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_10.4-10.10.xlsx	ok	0	0			4	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_11.1-11.7.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_11.1-11.7_DFA.xlsx	ok	0	0			2	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_11.15-11.21.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_11.22-11.28.xlsx	ok	0	0			4	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_11.29-12.5.xlsx	ok	0	0			4	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_11.8-11.14.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_12.6-12.12.xlsx	ok	0	0			4	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_12.7-1.3.14.xlsx	ok	0	0			2	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_12.7-12.13.xlsx	ok	0	0			1	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_2.22-2.28.xlsx	ok	0	0			2	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_2.8-2.14.xlsx	ok	0	0			2	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_3.1-3.7.xlsx	ok	0	0			2	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_3.15-3.21.xlsx	ok	0	0			2	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_3.22-3.28.xlsx	ok	0	0			2	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_3.8-3.14.xlsx	ok	0	0			2	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_4.19-4.25.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_4.5-4.11.xlsx	ok	0	0			2	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_5.17-5.23.xlsx	ok	0	0			3	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_5.24-5.30.xlsx	ok	0	0			1586	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_5.31-6.6.xlsx	ok	0	0			4	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_6.21-6.27.xlsx	ok	0	0			5	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_8.16-8.22.xlsx	ok	0	0			4	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_8.2-8.8.xlsx	ok	0	0			4	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_8.30-9.5.xlsx	ok	0	0			5	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_8.9-8.15.xlsx	ok	0	0			4	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_9.13-9.19.xlsx	ok	0	0			4	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_9.20-9.26.xlsx	ok	0	0			1281	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_9.27-10.3.xlsx	ok	0	0			4	
Career/CNBCU/Projects/2. xfinity.com/1. Dashboard/1. Marketing Funnels/1.1 Data Files/MediaVest/MainDivisionData_9.6-9.12.xlsx	ok	0	0			4	
